date,civilian_labor_force,participation_rate,employment_level,employment_population_ratio,employed_full_time,employed_part_time,unemployment_level,unemployment_rate,unemployment_rate_16_19,unemployment_rate_men_20_over,unemployment_rate_women_20_over,unemployment_rate_white,unemployment_rate_black,unemployment_rate_asian,unemployment_rate_hispanic,unemployment_rate_less_hs,unemployment_rate_hs_grad,unemployment_rate_some_college,unemployment_rate_bachelor_higher,unemployed_less_5_weeks,unemployed_5_14_weeks,unemployed_15_weeks_over,unemployed_27_weeks_over,average_weeks_unemployed,median_weeks_unemployed,unemployment_job_losers,unemployment_job_losers_layoff,unemployment_job_losers_not_layoff,unemployment_job_leavers,unemployment_reentrants,unemployment_new_entrants,part_time_economic_reasons,not_in_labor_force,marginally_attached,discouraged_workers,u6_unemployment_rate,multiple_jobholders_level,multiple_jobholders_percent,not_at_work_bad_weather,at_work_1_34hrs_bad_weather,labor_force_20_over,participation_rate_20_over,employment_20_over,unemployment_20_over,unemployment_rate_20_over,labor_force_25_over,participation_rate_25_over,employment_25_over,unemployment_25_over,unemployment_rate_25_over,labor_force_55_over,participation_rate_55_over,employment_55_over,unemployment_55_over,unemployment_rate_55_over,labor_force_hispanic,participation_rate_hispanic,employment_hispanic,unemployment_hispanic,not_in_labor_force_hispanic,labor_force_18_over_nsa,participation_rate_18_over_nsa,employment_18_over_nsa,unemployment_18_over_nsa,unemployment_rate_18_over_nsa,not_in_labor_force_18_over_nsa,labor_force_25_over_nsa,participation_rate_25_over_nsa,employment_25_over_nsa,employed_full_time_25_over_nsa,employed_part_time_25_over_nsa,unemployment_25_over_nsa,unemployed_fulltime_seeking_25_over_nsa,unemployed_parttime_seeking_25_over_nsa,unemployment_rate_25_over_nsa,labor_force_45_over_nsa,participation_rate_45_over_nsa,employment_45_over_nsa,unemployment_45_over_nsa,unemployment_rate_45_over_nsa,not_in_labor_force_45_over_nsa,labor_force_55_over_nsa,participation_rate_55_over_nsa,employment_55_over_nsa,employed_full_time_55_over_nsa,employed_part_time_55_over_nsa,unemployment_55_over_nsa,unemployed_fulltime_seeking_55_over_nsa,unemployed_parttime_seeking_55_over_nsa,unemployment_rate_55_over_nsa,not_in_labor_force_55_over_nsa,labor_force_65_over_nsa,participation_rate_65_over_nsa,employment_65_over_nsa,unemployment_65_over_nsa,unemployment_rate_65_over_nsa,not_in_labor_force_65_over_nsa,labor_force_white_nsa,participation_rate_white_nsa,employment_white_nsa,employed_full_time_white_nsa,employed_part_time_white_nsa,unemployment_white_nsa,unemployment_rate_white_nsa,not_in_labor_force_white_nsa,labor_force_black_nsa,participation_rate_black_nsa,employment_black_nsa,employed_full_time_black_nsa,employed_part_time_black_nsa,unemployment_black_nsa,unemployment_rate_black_nsa,not_in_labor_force_black_nsa,labor_force_asian_nsa,participation_rate_asian_nsa,employment_asian_nsa,employed_full_time_asian_nsa,employed_part_time_asian_nsa,unemployment_asian_nsa,unemployment_rate_asian_nsa,not_in_labor_force_asian_nsa,labor_force_native_american_nsa,participation_rate_native_american_nsa,employment_native_american_nsa,unemployment_native_american_nsa,unemployment_rate_native_american_nsa,not_in_labor_force_native_american_nsa,labor_force_pacific_islander_nsa,participation_rate_pacific_islander_nsa,employment_pacific_islander_nsa,unemployment_pacific_islander_nsa,unemployment_rate_pacific_islander_nsa,not_in_labor_force_pacific_islander_nsa,civilian_labor_force_nsa,participation_rate_nsa,employment_level_nsa,employed_full_time_nsa,employed_part_time_nsa,unemployment_level_nsa,unemployed_fulltime_seeking_nsa,unemployed_parttime_seeking_nsa,unemployment_rate_nsa,unemployment_rate_fulltime_force_nsa,unemployment_rate_parttime_force_nsa,not_in_labor_force_nsa
2019-12-01,164699.0,63.3,158845.0,61.1,131675.0,27014.0,5853.0,3.6,12.6,3.2,3.3,3.2,6.0,2.6,4.2,5.4,3.7,2.8,2.0,2090.0,1784.0,2016.0,1188.0,20.7,9.1,2750.0,805.0,1945.0,832.0,1676.0,575.0,4134.0,95483.0,1236.0,276.0,6.8,7947.0,5.0,112.0,562.0,158701.0,65.2,153602.0,5099.0,3.2,143539.0,64.5,139384.0,4155.0,2.9,38668.0,40.2,37721.0,947.0,2.4,29512.0,67.1,28269.0,1243.0,14474.0,161971.0,64.4,156710.0,5261.0,3.2,89373.0,143514.0,64.5,139527.0,120154.0,19373.0,3987.0,3403.0,584.0,2.8,71544.0,52.5,69831.0,1713.0,2.4,64741.0,38625.0,40.2,37744.0,29809.0,7934.0,882.0,662.0,220.0,2.3,57444.0,11069.0,20.6,10782.0,287.0,2.6,42688.0,126758.0,63.0,122919.0,101413.0,21506.0,3839.0,3.0,74568.0,20855.0,62.8,19692.0,16590.0,3102.0,1163.0,5.6,12360.0,10443.0,63.4,10189.0,8672.0,1517.0,254.0,2.4,6040.0,1882.0,60.2,1775.0,107.0,5.7,1242.0,659.0,70.7,639.0,20.0,3.1,274.0,164007.0,63.0,158504.0,131142.0,27362.0,5503.0,4477.0,1026.0,3.4,3.3,3.6,96174.0
2020-01-01,164377.0,63.3,158508.0,61.1,130898.0,27451.0,5869.0,3.6,12.5,3.2,3.3,3.1,6.4,3.0,4.3,5.7,3.9,2.9,1.9,2050.0,1752.0,2063.0,1176.0,21.9,10.0,2614.0,636.0,1979.0,832.0,1885.0,570.0,4275.0,95124.0,1376.0,334.0,7.0,8220.0,5.2,226.0,744.0,158350.0,65.2,153236.0,5115.0,3.2,143234.0,64.5,139093.0,4141.0,2.9,38586.0,40.2,37597.0,988.0,2.6,29701.0,67.9,28439.0,1262.0,14041.0,161500.0,64.4,155220.0,6280.0,3.9,89241.0,142983.0,64.4,138348.0,118978.0,19369.0,4636.0,4017.0,619.0,3.2,71168.0,52.3,69178.0,1990.0,2.8,64943.0,38442.0,40.0,37343.0,29299.0,8043.0,1100.0,877.0,222.0,2.9,57604.0,10948.0,20.3,10627.0,321.0,2.9,42865.0,126487.0,63.0,122058.0,100113.0,21945.0,4429.0,3.5,74431.0,20702.0,62.4,19327.0,16322.0,3005.0,1375.0,6.6,12482.0,10259.0,63.4,9932.0,8501.0,1431.0,327.0,3.2,5920.0,1878.0,60.3,1740.0,137.0,7.3,1238.0,718.0,72.3,700.0,19.0,2.6,276.0,163497.0,63.0,156994.0,129379.0,27615.0,6504.0,5233.0,1270.0,4.0,3.9,4.4,96004.0
2020-02-01,164467.0,63.3,158714.0,61.1,130872.0,27731.0,5753.0,3.5,11.3,3.3,3.1,3.0,6.1,2.5,4.4,5.7,3.7,3.1,1.9,2088.0,1780.0,1898.0,1110.0,20.6,9.4,2678.0,768.0,1910.0,766.0,1813.0,510.0,4378.0,95161.0,1485.0,420.0,7.0,8035.0,5.1,190.0,667.0,158379.0,65.2,153315.0,5064.0,3.2,143244.0,64.5,139084.0,4160.0,2.9,38754.0,40.3,37762.0,992.0,2.6,29722.0,67.8,28407.0,1315.0,14099.0,162264.0,64.7,156241.0,6022.0,3.7,88642.0,143499.0,64.6,138936.0,119066.0,19870.0,4563.0,3926.0,637.0,3.2,71625.0,52.6,69625.0,2000.0,2.8,64572.0,38877.0,40.4,37784.0,29517.0,8267.0,1093.0,832.0,260.0,2.8,57290.0,11206.0,20.8,10845.0,361.0,3.2,42734.0,126954.0,63.2,122669.0,100320.0,22349.0,4285.0,3.4,74014.0,20833.0,62.7,19530.0,16303.0,3227.0,1303.0,6.3,12379.0,10596.0,64.5,10327.0,8764.0,1564.0,268.0,2.5,5825.0,1817.0,58.6,1681.0,136.0,7.5,1282.0,620.0,69.5,603.0,17.0,2.7,272.0,164235.0,63.3,158017.0,129734.0,28283.0,6218.0,5094.0,1124.0,3.8,3.8,3.8,95393.0
2020-03-01,162559.0,62.6,155353.0,59.8,128914.0,26566.0,7206.0,4.4,14.3,4.1,4.0,3.9,7.0,4.2,6.1,7.2,4.4,3.8,2.5,3422.0,1845.0,1924.0,1140.0,17.0,6.0,4176.0,2045.0,2131.0,706.0,1788.0,546.0,5763.0,97200.0,1502.0,557.0,8.8,7221.0,4.6,143.0,341.0,156641.0,64.4,150281.0,6360.0,4.1,142037.0,63.9,136954.0,5083.0,3.6,38184.0,39.7,36890.0,1293.0,3.4,29425.0,67.0,27644.0,1781.0,14471.0,160578.0,64.0,153531.0,7048.0,4.4,90457.0,142471.0,64.1,137107.0,118069.0,19039.0,5363.0,4490.0,873.0,3.8,71090.0,52.2,68628.0,2462.0,3.5,65197.0,38312.0,39.8,36966.0,29069.0,7897.0,1345.0,960.0,385.0,3.5,57983.0,10655.0,19.7,10260.0,394.0,3.7,43413.0,125761.0,62.6,120660.0,99007.0,21653.0,5101.0,4.1,75261.0,20455.0,61.5,19018.0,15868.0,3150.0,1438.0,7.0,12783.0,10486.0,63.9,10058.0,8673.0,1385.0,428.0,4.1,5932.0,1683.0,58.6,1559.0,124.0,7.4,1188.0,593.0,70.8,575.0,18.0,3.0,244.0,162537.0,62.6,155167.0,127981.0,27187.0,7370.0,5689.0,1681.0,4.5,4.3,5.8,97221.0
2020-04-01,156269.0,60.1,133185.0,51.2,114106.0,19300.0,23084.0,14.8,32.8,13.0,15.5,14.2,16.9,14.5,18.9,21.2,17.7,15.5,8.4,14263.0,7066.0,1692.0,910.0,7.2,2.2,20644.0,18052.0,2592.0,549.0,1483.0,379.0,10880.0,103627.0,2304.0,568.0,22.9,5380.0,4.0,35.0,199.0,151331.0,62.2,129866.0,21464.0,14.2,137828.0,62.0,119842.0,17986.0,13.0,37254.0,38.6,32193.0,5061.0,13.6,27747.0,63.1,22491.0,5256.0,16228.0,154255.0,61.4,132224.0,22031.0,14.3,97013.0,137901.0,62.0,120214.0,105605.0,14608.0,17687.0,13961.0,3726.0,12.8,68919.0,50.5,60100.0,8819.0,12.8,67459.0,37295.0,38.7,32304.0,26426.0,5878.0,4991.0,3404.0,1587.0,13.4,59124.0,10304.0,19.0,8695.0,1609.0,15.6,43898.0,120795.0,60.1,104083.0,88560.0,15522.0,16713.0,13.8,80287.0,19425.0,58.4,16248.0,13881.0,2367.0,3177.0,16.4,13841.0,9893.0,60.5,8476.0,7408.0,1067.0,1418.0,14.3,6470.0,1720.0,59.4,1229.0,491.0,28.6,1178.0,564.0,71.0,521.0,43.0,7.6,231.0,155830.0,60.0,133326.0,113656.0,19670.0,22504.0,16445.0,6059.0,14.4,12.6,23.5,104066.0
2020-05-01,158101.0,60.8,137173.0,52.7,116472.0,20906.0,20929.0,13.2,30.5,11.5,13.9,12.3,16.8,15.0,17.6,19.7,15.9,13.7,7.4,3867.0,14806.0,2208.0,1147.0,10.5,7.7,18225.0,15310.0,2914.0,551.0,1648.0,529.0,10627.0,101945.0,2369.0,625.0,21.1,5538.0,4.0,31.0,120.0,152599.0,62.7,133348.0,19251.0,12.6,138783.0,62.4,122757.0,16027.0,11.5,37208.0,38.5,32827.0,4381.0,11.8,28296.0,64.2,23305.0,4991.0,15756.0,156090.0,62.1,136177.0,19913.0,12.8,95314.0,138753.0,62.3,123109.0,107824.0,15286.0,15644.0,12748.0,2896.0,11.3,69204.0,50.7,61590.0,7614.0,11.0,67273.0,37244.0,38.6,32963.0,26851.0,6111.0,4281.0,3001.0,1280.0,11.5,59278.0,10095.0,18.6,8767.0,1328.0,13.2,44215.0,122552.0,60.9,107761.0,91221.0,16539.0,14792.0,12.1,78602.0,19815.0,59.5,16530.0,14065.0,2465.0,3285.0,16.6,13479.0,9932.0,60.6,8462.0,7416.0,1046.0,1470.0,14.8,6453.0,1816.0,59.0,1489.0,327.0,18.0,1262.0,579.0,71.2,518.0,61.0,10.5,234.0,157975.0,60.7,137461.0,116620.0,20841.0,20514.0,15551.0,4963.0,13.0,11.8,19.2,102072.0
2020-06-01,159994.0,61.5,142342.0,54.7,119244.0,23081.0,17652.0,11.0,22.5,10.1,11.2,10.0,15.3,13.6,14.5,16.4,12.3,10.8,6.8,2909.0,11522.0,3272.0,1355.0,14.4,13.4,14174.0,10535.0,3639.0,563.0,2292.0,572.0,9109.0,100210.0,2415.0,675.0,18.0,6226.0,4.4,9.0,109.0,154489.0,63.4,138075.0,16414.0,10.6,140402.0,63.0,126799.0,13603.0,9.7,37748.0,39.1,34143.0,3604.0,9.5,28778.0,65.2,24592.0,4186.0,15354.0,158487.0,63.0,141067.0,17420.0,11.0,93072.0,139814.0,62.8,126259.0,110519.0,15739.0,13556.0,11081.0,2474.0,9.7,69630.0,51.0,63340.0,6290.0,9.0,66950.0,37471.0,38.8,33851.0,27581.0,6270.0,3620.0,2503.0,1117.0,9.7,59193.0,10289.0,18.9,9178.0,1111.0,10.8,44171.0,124744.0,62.0,112020.0,93838.0,18181.0,12725.0,10.2,76488.0,20134.0,60.4,17019.0,14497.0,2522.0,3115.0,15.5,13189.0,10202.0,61.9,8786.0,7678.0,1108.0,1416.0,13.9,6269.0,1698.0,60.8,1476.0,222.0,13.1,1094.0,604.0,70.2,544.0,60.0,10.0,257.0,160883.0,61.8,142811.0,120169.0,22642.0,18072.0,14005.0,4067.0,11.2,10.4,15.2,99321.0
2020-07-01,160132.0,61.5,143779.0,55.2,119948.0,23884.0,16352.0,10.2,19.2,9.4,10.5,9.2,14.3,12.0,12.8,14.9,10.7,9.6,6.7,3140.0,5145.0,8011.0,1544.0,17.0,14.7,12945.0,9268.0,3677.0,587.0,2294.0,539.0,8418.0,100241.0,1965.0,658.0,16.5,6629.0,4.6,10.0,136.0,154625.0,63.4,139328.0,15297.0,9.9,140462.0,63.0,127786.0,12675.0,9.0,38086.0,39.3,34751.0,3335.0,8.8,28690.0,64.9,25011.0,3679.0,15522.0,158734.0,63.1,142368.0,16366.0,10.3,92752.0,139895.0,62.8,126985.0,110799.0,16186.0,12910.0,10686.0,2224.0,9.2,69775.0,51.0,63808.0,5966.0,8.6,66913.0,37894.0,39.1,34481.0,27945.0,6536.0,3413.0,2490.0,923.0,9.0,58933.0,10509.0,19.2,9515.0,994.0,9.5,44119.0,124664.0,61.9,112913.0,94113.0,18800.0,11752.0,9.4,76655.0,20321.0,60.9,17283.0,14810.0,2472.0,3038.0,15.0,13031.0,10481.0,63.8,9207.0,8029.0,1178.0,1274.0,12.2,5939.0,1667.0,60.4,1450.0,217.0,13.0,1093.0,656.0,66.8,579.0,77.0,11.8,326.0,161374.0,62.0,144492.0,121198.0,23294.0,16882.0,13337.0,3545.0,10.5,9.9,13.2,98998.0
2020-08-01,160706.0,61.7,147245.0,56.5,122555.0,24711.0,13461.0,8.4,16.5,7.9,8.3,7.3,12.8,10.5,10.4,12.4,9.9,7.8,5.3,2316.0,3105.0,8137.0,1632.0,19.9,16.2,10249.0,6161.0,4088.0,615.0,2033.0,545.0,7553.0,99852.0,2129.0,574.0,14.2,6781.0,4.6,44.0,133.0,155094.0,63.6,142561.0,12532.0,8.1,140749.0,63.1,130175.0,10575.0,7.5,38232.0,39.4,35320.0,2912.0,7.6,28844.0,65.1,25836.0,3008.0,15457.0,158610.0,63.0,145182.0,13428.0,8.5,92989.0,140444.0,63.0,129647.0,113199.0,16448.0,10797.0,9055.0,1742.0,7.7,70033.0,51.2,65010.0,5023.0,7.2,66786.0,38115.0,39.3,35147.0,28476.0,6672.0,2968.0,2229.0,739.0,7.8,58889.0,10571.0,19.3,9671.0,900.0,8.5,44245.0,124491.0,61.8,115205.0,96353.0,18852.0,9286.0,7.5,76927.0,20199.0,60.5,17551.0,14897.0,2654.0,2648.0,13.1,13187.0,10627.0,64.0,9491.0,8291.0,1201.0,1136.0,10.7,5969.0,1726.0,59.8,1548.0,177.0,10.3,1158.0,658.0,63.8,577.0,81.0,12.4,374.0,160966.0,61.8,147224.0,123619.0,23605.0,13742.0,11221.0,2521.0,8.5,8.3,9.6,99592.0
2020-09-01,160174.0,61.4,147620.0,56.6,122565.0,25011.0,12554.0,7.8,16.0,7.3,7.8,7.0,12.0,8.9,10.2,10.5,9.1,8.2,4.8,2557.0,2735.0,7362.0,2445.0,21.5,17.5,9085.0,4621.0,4464.0,805.0,2083.0,539.0,6283.0,100569.0,1859.0,579.0,12.8,6489.0,4.4,76.0,249.0,154217.0,63.2,142616.0,11601.0,7.5,139735.0,62.6,129914.0,9820.0,7.0,37742.0,38.8,35189.0,2553.0,6.8,28856.0,65.0,25902.0,2954.0,15532.0,157908.0,62.7,145951.0,11957.0,7.6,93976.0,140035.0,62.7,130454.0,113093.0,17360.0,9581.0,8160.0,1421.0,6.8,69669.0,50.9,65204.0,4464.0,6.4,67279.0,37913.0,39.0,35428.0,28491.0,6937.0,2485.0,1972.0,514.0,6.6,59292.0,10727.0,19.5,9980.0,747.0,7.0,44322.0,124095.0,61.6,115603.0,95935.0,19668.0,8492.0,6.8,77420.0,19907.0,59.6,17609.0,14848.0,2761.0,2298.0,11.5,13513.0,10507.0,63.0,9581.0,8153.0,1427.0,926.0,8.8,6162.0,1746.0,59.8,1629.0,117.0,6.7,1172.0,502.0,54.2,429.0,73.0,14.5,424.0,160073.0,61.4,147796.0,122998.0,24798.0,12277.0,9999.0,2278.0,7.7,7.5,8.4,100670.0
2020-10-01,161003.0,61.7,149931.0,57.5,123780.0,26102.0,11072.0,6.9,13.8,6.8,6.4,6.0,10.9,7.5,8.8,9.8,8.2,6.6,4.2,2480.0,2342.0,6216.0,3591.0,22.0,19.0,7679.0,3194.0,4485.0,765.0,1992.0,517.0,6657.0,99922.0,1950.0,592.0,12.1,6721.0,4.5,31.0,181.0,155008.0,63.4,144764.0,10244.0,6.6,140154.0,62.7,131548.0,8606.0,6.1,37664.0,38.7,35608.0,2056.0,5.5,29200.0,65.7,26622.0,2578.0,15275.0,158966.0,63.0,148588.0,10378.0,6.5,93267.0,140528.0,62.9,132215.0,113964.0,18250.0,8313.0,7218.0,1095.0,5.9,69887.0,51.0,66097.0,3790.0,5.4,67190.0,37827.0,38.8,35850.0,28501.0,7349.0,1977.0,1567.0,410.0,5.2,59545.0,10645.0,19.3,10093.0,553.0,5.2,44573.0,124735.0,61.9,117599.0,96908.0,20691.0,7135.0,5.7,76876.0,20249.0,60.5,18109.0,15176.0,2933.0,2140.0,10.6,13204.0,10365.0,62.7,9588.0,7972.0,1616.0,777.0,7.5,6177.0,1795.0,59.2,1601.0,194.0,10.8,1239.0,600.0,58.1,524.0,76.0,12.7,433.0,161053.0,61.7,150433.0,124165.0,26269.0,10620.0,8782.0,1838.0,6.6,6.6,6.5,99872.0
2020-11-01,160629.0,61.5,149934.0,57.4,124433.0,25455.0,10694.0,6.7,13.8,6.6,6.1,6.0,10.3,6.7,8.5,9.4,7.7,6.4,4.2,2491.0,2440.0,5810.0,3924.0,23.3,18.3,7470.0,2800.0,4670.0,688.0,1970.0,556.0,6635.0,100456.0,2033.0,650.0,11.9,6584.0,4.4,60.0,345.0,154703.0,63.3,144827.0,9876.0,6.4,139933.0,62.6,131554.0,8379.0,6.0,37764.0,38.7,35580.0,2184.0,5.8,29210.0,65.6,26716.0,2494.0,15349.0,158437.0,62.8,148456.0,9981.0,6.3,93873.0,140215.0,62.7,132142.0,113910.0,18231.0,8074.0,7131.0,943.0,5.8,69899.0,51.0,66084.0,3814.0,5.5,67287.0,37895.0,38.9,35748.0,28366.0,7382.0,2147.0,1720.0,427.0,5.7,59592.0,10800.0,19.5,10206.0,594.0,5.5,44538.0,124065.0,61.5,117041.0,96581.0,20461.0,7024.0,5.7,77620.0,20166.0,60.2,18184.0,15376.0,2808.0,1982.0,9.8,13320.0,10366.0,62.6,9675.0,8124.0,1552.0,691.0,6.7,6192.0,1831.0,58.3,1672.0,158.0,8.6,1307.0,602.0,66.5,514.0,88.0,14.6,303.0,160468.0,61.5,150203.0,124325.0,25879.0,10264.0,8689.0,1576.0,6.4,6.5,5.7,100617.0
2020-12-01,160745.0,61.5,149975.0,57.4,124895.0,24910.0,10770.0,6.7,15.8,6.4,6.3,6.1,10.0,6.0,9.3,9.9,7.9,6.4,3.9,2913.0,2344.0,5541.0,3967.0,23.2,16.8,7293.0,3062.0,4231.0,754.0,2271.0,507.0,6142.0,100485.0,2180.0,655.0,11.7,6406.0,4.3,111.0,221.0,154807.0,63.3,144978.0,9829.0,6.3,139970.0,62.6,131738.0,8233.0,5.9,37621.0,38.6,35368.0,2253.0,6.0,29217.0,65.5,26498.0,2720.0,15422.0,158096.0,62.6,147920.0,10176.0,6.4,94258.0,139885.0,62.5,131817.0,114025.0,17792.0,8068.0,7052.0,1016.0,5.8,69654.0,50.7,65772.0,3881.0,5.6,67634.0,37582.0,38.5,35391.0,28253.0,7138.0,2191.0,1808.0,383.0,5.8,59998.0,10604.0,19.1,9978.0,626.0,5.9,44849.0,123828.0,61.4,116479.0,96535.0,19944.0,7348.0,5.9,77921.0,19919.0,59.4,18066.0,15237.0,2829.0,1853.0,9.3,13597.0,10259.0,61.9,9664.0,8303.0,1361.0,595.0,5.8,6324.0,1727.0,58.1,1554.0,172.0,10.0,1244.0,623.0,68.5,587.0,36.0,5.7,287.0,160017.0,61.3,149613.0,124415.0,25197.0,10404.0,8622.0,1781.0,6.5,6.5,6.6,101213.0
2021-01-01,160088.0,61.4,149852.0,57.4,125239.0,24536.0,10236.0,6.4,15.0,6.1,6.0,5.7,9.4,6.7,8.5,9.0,7.0,6.1,4.0,2287.0,2472.0,5381.0,4032.0,25.9,16.1,7017.0,2739.0,4277.0,652.0,2027.0,568.0,5947.0,100763.0,1932.0,621.0,11.2,6645.0,4.4,176.0,382.0,154196.0,63.1,144843.0,9353.0,6.1,139540.0,62.4,131672.0,7868.0,5.6,37267.0,38.2,35305.0,1961.0,5.3,28896.0,64.9,26436.0,2461.0,15625.0,157328.0,62.4,146767.0,10562.0,6.7,94741.0,139368.0,62.4,130921.0,113406.0,17514.0,8447.0,7350.0,1097.0,6.1,68927.0,50.3,65187.0,3740.0,5.4,68168.0,37122.0,38.1,35050.0,28088.0,6962.0,2072.0,1630.0,442.0,5.6,60323.0,10407.0,18.8,9842.0,564.0,5.4,44992.0,123054.0,61.0,115454.0,95890.0,19563.0,7601.0,6.2,78534.0,20087.0,60.0,18124.0,15347.0,2777.0,1963.0,9.8,13406.0,10231.0,62.3,9533.0,8150.0,1383.0,698.0,6.8,6192.0,1680.0,57.0,1511.0,169.0,10.1,1265.0,671.0,69.8,604.0,67.0,10.0,290.0,159234.0,61.0,148383.0,123717.0,24666.0,10851.0,9055.0,1795.0,6.8,6.8,6.8,101618.0
2021-02-01,160184.0,61.4,150189.0,57.6,125091.0,25052.0,9995.0,6.2,13.9,6.0,5.9,5.6,9.9,5.1,8.5,10.2,7.1,5.7,3.8,2197.0,2212.0,5523.0,4143.0,27.5,18.4,6578.0,2245.0,4333.0,707.0,2153.0,594.0,6087.0,100734.0,1933.0,529.0,11.1,6667.0,4.4,897.0,1878.0,154193.0,63.1,145030.0,9164.0,5.9,139652.0,62.5,131867.0,7785.0,5.6,37336.0,38.3,35344.0,1992.0,5.3,29189.0,65.5,26697.0,2492.0,15398.0,158009.0,62.7,147813.0,10196.0,6.5,94066.0,139962.0,62.6,131714.0,113868.0,17846.0,8249.0,7220.0,1028.0,5.9,69447.0,50.6,65686.0,3760.0,5.4,67709.0,37444.0,38.4,35350.0,28375.0,6975.0,2095.0,1672.0,423.0,5.6,60101.0,10262.0,18.5,9736.0,526.0,5.1,45270.0,123680.0,61.3,116369.0,96096.0,20273.0,7312.0,5.9,77926.0,20041.0,59.8,17989.0,15268.0,2721.0,2052.0,10.2,13470.0,10404.0,62.7,9873.0,8328.0,1544.0,532.0,5.1,6184.0,1862.0,61.0,1636.0,225.0,12.1,1191.0,735.0,68.6,670.0,66.0,8.9,336.0,160008.0,61.3,149522.0,123981.0,25541.0,10486.0,8792.0,1694.0,6.6,6.6,6.2,100910.0
2021-03-01,160400.0,61.5,150644.0,57.7,125762.0,25065.0,9756.0,6.1,13.0,5.9,5.7,5.4,9.7,6.0,8.0,8.5,6.6,5.9,3.7,2177.0,1972.0,5566.0,4171.0,29.6,20.3,6188.0,2028.0,4160.0,765.0,2302.0,507.0,5796.0,100603.0,1954.0,536.0,10.8,6873.0,4.6,116.0,314.0,154489.0,63.2,145499.0,8990.0,5.8,139806.0,62.5,132422.0,7384.0,5.3,37343.0,38.2,35609.0,1734.0,4.6,29191.0,65.4,26868.0,2323.0,15460.0,158418.0,62.8,148751.0,9666.0,6.1,93939.0,140284.0,62.7,132593.0,114575.0,18018.0,7691.0,6727.0,964.0,5.5,69415.0,50.6,66113.0,3302.0,4.8,67812.0,37467.0,38.4,35682.0,28643.0,7039.0,1785.0,1429.0,357.0,4.8,60168.0,10447.0,18.8,9919.0,527.0,5.0,45215.0,123768.0,61.4,116981.0,96791.0,20190.0,6787.0,5.5,77874.0,20283.0,60.5,18281.0,15296.0,2986.0,2002.0,9.9,13247.0,10433.0,63.1,9817.0,8392.0,1425.0,616.0,5.9,6099.0,1739.0,60.0,1601.0,138.0,7.9,1160.0,679.0,66.5,631.0,48.0,7.1,342.0,160397.0,61.5,150493.0,124840.0,25653.0,9905.0,8370.0,1535.0,6.2,6.3,5.6,100606.0
2021-04-01,160843.0,61.6,151081.0,57.9,126139.0,25062.0,9762.0,6.1,12.1,6.0,5.7,5.3,10.2,5.8,7.9,9.4,7.0,6.0,3.5,2411.0,1986.0,5322.0,4082.0,28.4,20.3,6347.0,2117.0,4230.0,818.0,2127.0,559.0,5227.0,100260.0,1828.0,555.0,10.3,6909.0,4.6,46.0,218.0,154753.0,63.3,145730.0,9023.0,5.8,140145.0,62.6,132647.0,7498.0,5.3,37588.0,38.5,35701.0,1887.0,5.0,29170.0,65.2,26855.0,2315.0,15549.0,158279.0,62.7,149281.0,8998.0,5.7,94121.0,140220.0,62.7,133034.0,115331.0,17703.0,7187.0,6345.0,841.0,5.1,69479.0,50.6,66166.0,3313.0,4.8,67827.0,37618.0,38.5,35800.0,28838.0,6962.0,1818.0,1479.0,339.0,4.8,60118.0,10502.0,18.8,10008.0,495.0,4.7,45293.0,123638.0,61.3,117458.0,97338.0,20120.0,6180.0,5.0,78049.0,20488.0,61.1,18555.0,15634.0,2921.0,1932.0,9.4,13064.0,10294.0,62.3,9722.0,8341.0,1381.0,571.0,5.6,6238.0,1735.0,59.6,1575.0,160.0,9.2,1178.0,754.0,68.2,665.0,89.0,11.8,352.0,160379.0,61.4,151160.0,125635.0,25524.0,9220.0,7844.0,1375.0,5.7,5.9,5.1,100723.0
2021-05-01,160800.0,61.6,151535.0,58.0,126459.0,25280.0,9266.0,5.8,9.7,5.8,5.3,5.1,9.0,5.7,7.2,9.0,6.9,5.9,3.1,1997.0,2181.0,5003.0,3707.0,29.6,19.5,5768.0,1837.0,3931.0,792.0,2186.0,511.0,5244.0,100410.0,1929.0,573.0,10.1,7287.0,4.8,43.0,201.0,154801.0,63.2,146117.0,8684.0,5.6,140170.0,62.6,133017.0,7153.0,5.1,37647.0,38.5,35829.0,1818.0,4.8,29120.0,65.0,27008.0,2111.0,15666.0,158440.0,62.7,149812.0,8629.0,5.4,94091.0,140135.0,62.6,133369.0,115894.0,17474.0,6767.0,6033.0,733.0,4.8,69482.0,50.6,66333.0,3149.0,4.5,67911.0,37670.0,38.5,35949.0,28849.0,7100.0,1721.0,1380.0,341.0,4.6,60177.0,10467.0,18.7,9930.0,537.0,5.1,45451.0,123766.0,61.3,117808.0,97957.0,19851.0,5958.0,4.8,77976.0,20409.0,60.8,18603.0,15822.0,2782.0,1806.0,8.8,13163.0,10401.0,62.9,9834.0,8414.0,1420.0,567.0,5.5,6128.0,1857.0,62.4,1681.0,176.0,9.5,1117.0,678.0,62.6,640.0,38.0,5.6,406.0,160607.0,61.5,151778.0,126579.0,25199.0,8829.0,7586.0,1242.0,5.5,5.7,4.7,100603.0
